_id,ano,mes,avaliador,vistoria_data,vistoria_risco,vistoria_localidade,vistoria_rpa_codigo,vistoria_microrregiao,vistoria_setor,processo_numero
1,2012,12-dezembro,Engenheiro - Área Morro,2012-12-28T08:51:53,R3 Alto,FUNDAO,2,2.2,2-NORTE,8009124312
2,2012,12-dezembro,Engenheiro - Área Morro,2012-12-07T16:00:48,R2 Médio,IBURA DE BAIXO,6,6.2,6-SUL,8008124012
3,2012,12-dezembro,Engenheiro - Área Morro,2012-12-18T15:02:40,Não informado,JORDÃO BAIXO,6,6.2,6-SUL,8007253012
4,2012,12-dezembro,Engenheiro - Área Morro,2012-12-28T10:09:20,R4 Muito Alto,ALTO DA BRASILEIRA,3,3.3,3-NOROESTE,8006628012
5,2012,12-dezembro,Engenheiro - Área Morro,2012-12-13T14:34:07,R3 Alto,ALTO DA JAQUEIRA - Jordão,6,6.2,6-SUL,8008472812
6,2012,12-dezembro,Engenheiro - Área Morro,2012-12-28T09:16:45,R2 Médio,alto da esperança,2,2.3,2-NORTE,8009122012
7,2012,12-dezembro,Engenheiro - Área Morro,2012-12-21T11:30:44,Não informado,VILA DOS MILAGRES,6,6.2,6-SUL,8009072312
8,2012,12-dezembro,Engenheiro - Área Morro,2012-12-14T10:26:58,R3 Alto,BOMBA DO HEMETERIO,2,2.2,2-NORTE,8009040412
9,2012,12-dezembro,Engenheiro - Área Morro,2012-12-03T21:04:09,R3 Alto,BOMBA DO HEMETERIO,2,2.2,2-NORTE,8008747712
10,2012,12-dezembro,Engenheiro - Área Morro,2012-12-13T09:21:24,R3 Alto,BEBERIBE,2,2.3,2-NORTE,8007890012
11,2012,12-dezembro,Engenheiro - Área Morro,2012-12-13T09:39:53,R3 Alto,ALTO DO DEODATO,2,2.2,2-NORTE,8006247712
12,2012,12-dezembro,Engenheiro - Área Morro,2012-12-19T15:02:34,R3 Alto,ALTO DA TELHA,3,3.3,3-NOROESTE,8009049112
13,2012,12-dezembro,Engenheiro - Área Morro,2012-12-13T09:21:10,R2 Médio,IBURA DE BAIXO,6,6.2,6-SUL,8007875112
14,2012,12-dezembro,Engenheiro - Área Morro,2012-12-13T10:50:13,Não informado,UR-02,6,6.2,6-SUL,8008455612
15,2012,12-dezembro,Engenheiro - Área Morro,2012-12-19T14:01:44,Não informado,IBURA DE BAIXO,6,6.2,6-SUL,8006222412
16,2012,12-dezembro,Engenheiro - Área Morro,2012-12-28T09:33:07,R2 Médio,ALTO SANTA TEREZINHA,2,2.2,2-NORTE,8009125012
17,2012,12-dezembro,Engenheiro - Área Morro,2012-12-20T11:59:13,R2 Médio,Jardim Teresópoles,4,4.3,4-NORDESTE,8008985512
18,2012,12-dezembro,Engenheiro - Área Morro,2012-12-21T14:43:04,Não informado,UR-10,6,6.2,6-SUL,8008710612
19,2012,12-dezembro,Engenheiro - Área Morro,2012-12-03T09:26:44,R2 Médio,CORREGO DA AREIA,3,3.3,3-NOROESTE,8008559612
20,2012,12-dezembro,Engenheiro - Área Morro,2012-12-03T15:38:18,Não informado,alto do reservatorio,3,3.3,3-NOROESTE,8008681612
21,2012,12-dezembro,Engenheiro - Área Morro,2012-12-07T15:29:19,R3 Alto,lagoa encantada,6,6.2,6-SUL,8008695712
22,2012,12-dezembro,Engenheiro - Área Morro,2012-12-20T14:45:59,R2 Médio,ALTO DA BELA VISTA,6,6.2,6-SUL,8006087012
23,2012,12-dezembro,Engenheiro - Área Morro,2012-12-03T14:52:19,Não informado,CORREGO DA BICA,3,3.3,3-NOROESTE,8008198312
24,2012,12-dezembro,Engenheiro - Área Morro,2012-12-13T15:01:35,R3 Alto,IBURA DE BAIXO,6,6.2,6-SUL,8006217012
25,2012,12-dezembro,Engenheiro - Área Morro,2012-12-03T21:04:48,R3 Alto,ALTO DO PASCOAL,2,2.2,2-NORTE,8006960512
26,2012,12-dezembro,Engenheiro - Área Morro,2012-12-11T10:43:22,R3 Alto,ALTO DO PASCOAL,2,2.2,2-NORTE,8008970812
27,2012,12-dezembro,Engenheiro - Área Morro,2012-12-04T08:54:53,R3 Alto,Córrego do Eucalipto,3,3.3,3-NOROESTE,8008663812
28,2012,12-dezembro,Engenheiro - Área Morro,2012-12-04T10:13:42,R3 Alto,alto jose idalino,3,3.3,3-NOROESTE,8008755012
29,2012,12-dezembro,Engenheiro - Área Morro,2012-12-26T11:20:43,Não informado,LAGOA ENCANTADA,6,6.2,6-SUL,8005178112
30,2012,12-dezembro,Engenheiro - Área Morro,2012-12-21T14:51:29,R4 Muito Alto,UR-05,6,6.2,6-SUL,8008835312
31,2012,12-dezembro,Engenheiro - Área Morro,2012-12-24T08:53:42,R2 Médio,CORREGO DO INACIO,3,3.3,3-NOROESTE,8006043212
32,2012,12-dezembro,Engenheiro - Área Morro,2012-12-06T15:01:46,Não informado,UR-03,6,6.2,6-SUL,8007021212
33,2012,12-dezembro,Engenheiro - Área Morro,2012-12-13T09:33:13,R3 Alto,ALTO SANTA TEREZINHA,2,2.2,2-NORTE,8008759512
34,2012,12-dezembro,Engenheiro - Área Morro,2012-12-20T15:30:18,Não informado,JORDAO ALTO,6,6.2,6-SUL,8008558012
35,2012,12-dezembro,Engenheiro - Área Morro,2012-12-20T15:06:22,R4 Muito Alto,JARDIM JORDAO,6,6.2,6-SUL,8005193012
36,2012,12-dezembro,Engenheiro - Área Morro,2012-12-19T09:11:36,R1 Baixo,CORREGO MANUEL DAS MENINAS,3,3.3,3-NOROESTE,8009041012
37,2012,12-dezembro,Engenheiro - Área Morro,2012-12-03T21:01:10,R3 Alto,BOMBA DO HEMETERIO,2,2.2,2-NORTE,8008774412
38,2012,12-dezembro,Engenheiro - Área Morro,2012-12-24T09:13:29,Não informado,CORREGO DO INACIO,3,3.3,3-NOROESTE,8006266112
39,2012,11-novembro,Engenheiro - Área Morro,2012-11-30T15:06:04,R3 Alto,UR-05,6,6.2,6-SUL,8008287612
40,2012,11-novembro,Engenheiro - Área Morro,2012-11-20T09:41:00,Não informado,PASSARINHO,3,3.3,3-NOROESTE,8008571612
41,2012,11-novembro,Engenheiro - Área Morro,2012-11-12T14:25:34,R3 Alto,TRES CARNEIROS,6,6.2,6-SUL,8007141812
42,2012,11-novembro,Engenheiro - Área Morro,2012-11-13T08:33:39,Não informado,CASA AMARELA,3,3.3,3-NOROESTE,8008200812
43,2012,11-novembro,Engenheiro - Área Morro,2012-11-12T09:55:48,Não informado,PORTO DA MADEIRA,2,2.3,2-NORTE,8008044612
44,2012,11-novembro,Engenheiro - Área Morro,2012-11-29T09:06:21,R4 Muito Alto,SITIO DOS PINTOS,3,3.1,3-NOROESTE,8008523112
45,2012,11-novembro,Engenheiro - Área Morro,2012-11-08T15:54:58,R3 Alto,SITIO SAO BRAZ,3,3.1,3-NOROESTE,8008249712
46,2012,11-novembro,Engenheiro - Área Morro,2012-11-16T21:09:14,R1 Baixo,boa viagem,6,6.1,6-SUL,8006681912
47,2012,11-novembro,Engenheiro - Área Morro,2012-11-29T16:09:00,Não informado,ALTO DA BRASILEIRA,3,3.3,3-NOROESTE,8007170812
48,2012,11-novembro,Engenheiro - Área Morro,2012-11-09T10:46:08,R4 Muito Alto,CORREGO SANTA TEREZA,3,3.3,3-NOROESTE,8008244512
49,2012,11-novembro,Engenheiro - Área Morro,2012-11-07T11:29:40,R3 Alto,ALTO DA BRASILEIRA,3,3.3,3-NOROESTE,8007851512
50,2012,11-novembro,Engenheiro - Área Morro,2012-11-26T14:50:53,R2 Médio,MACAXEIRA,3,3.3,3-NOROESTE,8008394712
51,2012,11-novembro,Engenheiro - Área Morro,2012-11-11T23:48:06,R3 Alto,corrego do eucalipto,3,3.3,3-NOROESTE,8007498312
52,2012,11-novembro,Engenheiro - Área Morro,2012-11-06T16:04:36,R3 Alto,BEBERIBE-,2,2.3,2-NORTE,8005233212
53,2012,11-novembro,Engenheiro - Área Morro,2012-11-22T09:43:02,R3 Alto,LADEIRA DE PEDRA,2,2.2,2-NORTE,8007094012
54,2012,11-novembro,Engenheiro - Área Morro,2012-11-26T16:06:34,R2 Médio,CORREGO DO MARRECO,3,3.3,3-NOROESTE,8008441512
55,2012,11-novembro,Engenheiro - Área Morro,2012-11-26T15:04:23,Não informado,CORREGO DO ARCANJO,3,3.3,3-NOROESTE,8008439012
56,2012,11-novembro,Engenheiro - Área Morro,2012-11-20T09:44:33,R3 Alto,DOIS UNIDOS,2,2.3,2-NORTE,8008510712
57,2012,11-novembro,Engenheiro - Área Morro,2012-11-12T00:01:52,R2 Médio,NOVA DESCOBERTA,3,3.3,3-NOROESTE,8006174012
58,2012,11-novembro,Engenheiro - Área Morro,2012-11-15T11:39:00,R3 Alto,ALTO DO PERERINHA - AGUA FRIA,2,2.2,2-NORTE,8007934812
59,2012,11-novembro,Engenheiro - Área Morro,2012-11-06T16:20:58,R3 Alto,DOIS UNIDO,2,2.3,2-NORTE,8006248312
60,2012,11-novembro,Engenheiro - Área Morro,2012-11-01T15:05:23,R3 Alto,ALTO DO MARACANA,2,2.3,2-NORTE,8005480012
61,2012,11-novembro,Engenheiro - Área Morro,2012-11-21T08:18:51,R1 Baixo,ALTO SANTA ISABEL,3,3.1,3-NOROESTE,8008092012
62,2012,11-novembro,Engenheiro - Área Morro,2012-11-13T08:59:10,Não informado,CGO DO ARCANJO,3,3.3,3-NOROESTE,8008176012
63,2012,11-novembro,Engenheiro - Área Morro,2012-11-20T10:40:45,R2 Médio,ALTO DO PASCOAL,2,2.3,2-NORTE,8008285312
64,2012,11-novembro,Engenheiro - Área Morro,2012-11-21T08:03:18,R3 Alto,ALTO DO MANDU,3,3.1,3-NOROESTE,8007951012
