Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan/2022,"0,0","0,0","28,0","10,0","29,0","40,5","0,0","0,0","0,0","1,7","2,1","5,0","8,0","28,5","4,8","0,7","0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,5","0,0","24,0","0,6","0,5","2825,4"
309,Araçoiaba (Granja Cristo Redentor),jan/2022,"0,0","0,0","1,8","3,0","0,0","24,2","0,0","0,0","0,0","0,7","2,4","4,4","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,4","0,0","26,6","0,8","0,0","1897,5"
301,Cabo,jan/2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,0"
490,Cabo (Barragem de Gurjaú),jan/2022,"0,0","0,0","4,2","1,0","28,7","4,5","7,5","0,0","0,0","2,6","6,7","23,2","6,8","8,2","28,1","8,2","0,3","0,0","0,0","0,0","16,3","3,0","0,0","0,0","0,0","4,1","15,1","0,0","47,3","0,0","1,0","2886,7"
491,Cabo (Barragem de Suape),jan/2022,"0,0","0,0","107,9","5,3","36,6","6,1","3,7","0,0","0,0","0,0","0,0","4,0","0,8","5,7","62,5","3,8","0,6","1,0","0,0","9,8","7,2","0,0","0,0","17,7","0,0","3,4","4,3","0,0","38,2","0,0","0,0","3220,0"
603,Cabo (Pirapama),jan/2022,"0,0","0,0","101,5","0,2","14,6","1,8","14,4","0,0","0,0","1,0","10,6","3,8","6,2","12,6","35,3","9,4","0,0","0,0","0,0","0,0","11,2","14,2","0,0","0,0","0,2","0,5","8,7","0,1","66,7","0,1","0,0","3163,1"
201,Camaragibe,jan/2022,"0,0","0,0","16,9","3,8","2,7","33,5","0,0","0,0","0,0","2,5","11,7","6,9","1,3","7,7","19,3","11,3","0,0","0,0","0,0","0,0","13,7","0,0","0,0","2,8","0,0","8,5","15,5","3,5","38,2","1,0","0,0","2981,2"
28,Goiana (Itapirema - IPA),jan/2022,"0,0","4,6","46,8","0,2","4,2","13,8","0,2","0,0","0,0","2,6","2,4","0,2","1,5","3,8","9,2","0,2","0,0","0,0","0,0","0,0","22,8","0,0","0,0","0,0","0,0","9,8","24,2","0,4","19,2","3,2","0,0","1859,0"
487,Goiana - PCD,jan/2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"210,2"
100,Igarassu,jan/2022,"0,5","2,7","77,7","29,0","10,4","9,6","1,4","1,5","1,1","0,0","5,6","4,2","3,3","28,2","15,2","2,2","0,7","1,1","0,0","2,2","3,1","0,0","2,4","0,0","0,0","0,0","4,9","1,2","34,3","0,0","1,9","2621,9"
