Data,Abreu e Lima,Araçoiaba (Granja Cristo Redentor),Cabo,Cabo (Barragem de Gurjaú),Cabo (Barragem de Suape),Camaragibe,Goiana (Itapirema - IPA),Goiana (Usina Maravilha),Goiana - PCD,Igarassu,Igarassu (Bar.Catucá),Igarassu (Usina São José),Ipojuca,Itamaracá,Itapissuma,Jaboatão dos Guararapes,Jaboatão dos Guararapes (Bar.Duas Unas),Olinda,Olinda (Academia Santa Gertrudes),Olinda (Alto da Bondade),Paulista,Recife (Alto da Brasileira),Recife (Lamepe/Itep),Recife (Santo Amaro),Recife (Várzea),Recife - PCD,São Lourenço da Mata (Tapacurá),Cabo (Pirapama),Ipojuca (Porto de Galinhas - IPA),Ipojuca (Suape) - PCD,Jaboatão (Cidade da Copa) - PCD,Moreno,Recife (Codecipe / Santo Amaro),Olinda (Jardim Atlântico)
2010-01-01,14.8,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,,,,,,,
2010-01-02,0.2,,2.0,5.1,18.8,2.7,5.2,0.0,6.3,8.0,7.6,10.5,10.0,1.4,6.1,0.0,15.0,0.0,0.0,0.0,0.0,5.4,4.0,0.5,3.6,1.0,7.2,,,,,,,
2010-01-03,2.0,,1.0,0.0,0.0,2.3,16.0,16.2,13.5,19.0,0.0,3.0,2.0,1.8,1.9,1.1,0.0,0.0,1.0,0.4,9.2,0.0,10.0,0.0,11.0,5.0,0.0,,,,,,,
2010-01-04,6.2,,1.2,0.3,0.0,3.5,18.6,20.9,18.3,3.4,1.8,5.0,8.0,2.7,3.0,0.2,8.0,1.9,0.9,11.9,5.2,10.8,6.0,0.0,6.1,2.3,5.4,,,,,,,
2010-01-05,0.0,,0.0,6.0,0.6,8.0,0.0,4.4,0.0,0.3,0.0,1.0,10.4,0.0,0.0,0.0,5.0,9.5,8.7,1.9,0.0,6.2,4.6,8.3,4.8,4.0,12.8,,,,,,,
2010-01-06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-01-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-01-08,0.8,,1.0,11.2,4.8,2.4,0.2,0.5,0.0,0.0,3.4,2.0,6.8,0.0,0.0,0.5,5.0,0.0,0.7,3.0,0.0,0.4,1.0,1.5,1.6,0.0,0.0,,,,,,,
2010-01-09,4.9,,25.0,,,0.0,0.0,6.5,0.0,5.3,,2.0,19.6,0.0,8.5,0.0,,3.6,0.0,0.4,0.0,,0.0,0.0,0.4,0.5,,,,,,,,
2010-01-10,0.1,,2.8,0.0,2.8,7.8,0.2,0.0,0.0,4.3,22.8,30.0,0.0,0.0,0.0,15.3,7.5,0.0,0.0,1.7,0.0,22.0,36.0,13.6,34.0,8.5,0.0,,,,,,,
2010-01-11,3.3,,2.7,0.0,0.0,4.0,0.6,8.0,0.3,10.2,2.0,6.0,1.0,0.0,8.8,8.3,0.0,0.0,0.4,2.2,6.3,8.0,2.0,0.0,1.2,10.5,0.0,,,,,,,
2010-01-12,0.8,,2.0,10.5,0.0,0.0,0.0,2.4,0.0,0.0,0.4,4.0,12.3,0.0,0.0,0.9,5.0,1.8,3.8,5.3,0.0,4.6,1.9,0.0,2.6,3.5,0.0,,,,,,,
2010-01-13,0.0,,3.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-01-14,0.0,0.0,0.0,0.0,2.1,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-01-15,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-01-16,4.6,,0.0,0.0,2.6,3.7,4.2,2.1,15.5,0.0,1.0,0.0,13.6,8.2,8.4,8.5,2.0,0.9,0.0,0.0,0.0,2.8,8.7,9.7,8.4,7.3,1.8,,,,,,,
2010-01-17,6.6,,10.0,9.4,7.8,13.1,6.0,17.7,10.0,12.7,4.6,11.0,13.4,4.6,6.5,4.0,15.0,8.7,10.0,6.1,11.8,11.4,13.0,0.0,13.2,12.5,6.2,,,,,,,
2010-01-18,22.0,,12.0,31.2,13.8,29.2,36.6,20.0,12.5,40.3,33.0,40.0,2.9,27.8,39.6,23.9,0.0,12.9,10.0,18.1,20.0,23.6,35.0,27.4,35.0,28.0,0.0,,,,,,,
2010-01-19,0.0,,0.0,0.0,2.4,0.0,10.0,0.0,0.5,0.0,0.0,0.0,2.2,4.2,3.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2010-01-20,0.0,,10.0,15.4,18.8,2.1,16.2,0.0,15.0,0.0,0.0,21.0,46.0,26.1,28.0,3.7,0.0,18.2,20.0,2.6,0.3,6.4,4.2,17.9,3.4,5.0,0.0,,,,,,,
2010-01-21,0.0,,25.0,0.9,7.2,3.0,0.6,6.5,2.3,20.4,37.4,42.0,4.8,0.0,1.5,6.8,0.0,5.1,11.0,1.5,0.0,2.1,2.3,9.2,1.9,1.0,15.6,,,,,,,
2010-01-22,0.0,,0.0,20.0,17.6,0.2,0.4,0.0,0.5,0.0,37.4,0.0,23.2,0.0,0.0,2.6,3.0,16.5,9.4,4.6,1.1,3.1,37.0,13.0,38.0,22.5,3.2,,,,,,,
2010-01-23,0.0,,0.0,0.0,0.0,2.3,8.4,0.0,0.0,0.0,0.0,0.0,2.4,0.5,0.0,1.8,3.0,0.0,0.0,0.0,0.0,14.0,1.5,0.0,1.8,0.8,1.8,,,,,,,
